Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=KY
42031,KY,1.299.999.952,,6-1-2010,
42240,KY,2.0,,07/22/2010,
42240,KY,2.07,,05/17/2011,
42240,KY,2.07,,12-9-2009,
40217,KY,2.46,17117,08/15/2008,
42104,KY,2.5,,07/20/2010,
42784,KY,2.6,17000,11/23/2007,
40515,KY,3.27,14000.0,03/20/2006,
42722,KY,4.18,20110,11/20/2009,
42701,KY,4.2,29222,7-10-2009,
40207,KY,5.2,21000.0,4-5-2013,
40222,KY,5.98,28840,3-4-2010,
40356,KY,12.74,48700.0,03/25/2013,
40214,KY,15.0,108000.0,12-6-2011,
41051,KY,22.66,,12/13/2005,
42050,KY,37.44,,12/30/2011,
40456,KY,60.9,243955.0,11/29/2010,
42101,KY,140.0,875000.0,12/16/2011,
42101,KY,210.0,1290000.0,12/15/2010,
40903,KY,240.0,,05/26/2010,
41017,KY,436.33,3000000.0,5-11-2011,
42101,KY,2000.0,,7-1-2011,
