Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=WY
82935,WY,0.02,,01/23/2006,
82009,WY,0.06,,1-1-2007,
82431,WY,0.06,,01/15/1996,
82001,WY,0.075,,01/15/1996,
82336,WY,0.11,,06/15/2007,
82801,WY,0.12,,1-1-2006,
82059,WY,0.12,,01/15/2006,
82731,WY,0.12,,1-1-2005,
82201,WY,0.12,,7-8-2008,
82514,WY,0.125,,04/14/2005,
83101,WY,0.125,,6-3-2006,
82601,WY,0.16,,01/15/2004,
83127,WY,0.17,,01/15/2006,
83001,WY,0.204,,08/23/1996,
82520,WY,0.204,,6-12-1999,
82009,WY,0.204,,6-2-1996,
82083,WY,0.22,,10/21/2007,
82520,WY,0.225,,12-9-2000,
82633,WY,0.225,,1-2-2002,
82201,WY,0.23,,1-1-2008,
82601,WY,0.24,,01/15/2004,
82501,WY,0.24,,02/23/2007,
82520,WY,0.24,,1-1-2006,
82520,WY,0.24,,4-4-2004,
82001,WY,0.24,,1-2-2005,
82520,WY,0.24,,6-5-2006,
82801,WY,0.24,,01/15/2003,
82070,WY,0.24,,3-1-2005,
82520,WY,0.24,,6-6-1999,
82520,WY,0.24,,10-12-2001,
82901,WY,0.24,,05/23/2001,
82649,WY,0.24,,07/23/1999,
82520,WY,0.25,,01/15/2007,
82520,WY,0.28,,06/14/2003,
82901,WY,0.32,,01/15/2005,
82935,WY,0.32,,1-3-2003,
82072,WY,0.33,,4-1-2006,
82520,WY,0.35,,7-8-2008,
82501,WY,0.35,,10/21/2006,
82730,WY,0.35,,5-12-2009,
82443,WY,0.36,,01/16/2001,
82520,WY,0.36,,1-1-1999,
82520,WY,0.36,,1-2-1999,
82601,WY,0.36,,1-1-2005,
82084,WY,0.38,,7-12-1997,
82083,WY,0.4,,7-8-2008,
82834,WY,0.4,,01/15/2007,
82443,WY,0.41,4755.53,04/16/2010,
82520,WY,0.414,,1-1-2001,
82633,WY,0.416,,8-10-2009,
82520,WY,0.432,,8-7-2009,
82520,WY,0.44,,01/15/2004,
82201,WY,0.48,,12-12-2005,
82601,WY,0.48,,10/21/2006,
82520,WY,0.48,,01/15/2005,
83011,WY,0.48,,01/15/2006,
82435,WY,0.492,,01/15/2008,
82520,WY,0.495,,05/20/2006,
82834,WY,0.495,,01/15/2006,
82501,WY,0.51,,10-1-1999,
82901,WY,0.51,,01/25/2001,
82901,WY,0.51,,07/15/2001,
82520,WY,0.56,,04/23/2002,
82001,WY,0.6,,4-12-2003,
82633,WY,0.6,,01/15/2009,
82901,WY,0.6,,01/23/2002,
82070,WY,0.6,,01/15/1999,
82009,WY,0.6,,01/15/1997,
82833,WY,0.6,,12/14/2006,
82443,WY,0.612,,01/15/2006,
82520,WY,0.64,,01/15/2002,
82633,WY,0.64,,01/15/2002,
82070,WY,0.66,,08/15/2009,
82833,WY,0.66,,01/15/2007,
82520,WY,0.668,,2-3-2004,
82520,WY,0.7,,5-2-2003,
82001,WY,0.7,,08/23/2009,
82901,WY,0.7,,01/15/2007,
82201,WY,0.72,,3-4-2005,
82901,WY,0.72,,2-2-2000,
82070,WY,0.72,,01/15/2003,
82901,WY,0.72,,01/15/2001,
83121,WY,0.74,,1-12-2005,
82072,WY,0.76,,8-9-2009,
82009,WY,0.78,,1-7-2008,
82925,WY,0.8,,8-9-2009,
82070,WY,0.864,,08/13/2009,
82839,WY,0.875,,8-1-2009,
83118,WY,0.896,,5-6-2009,
82063,WY,0.9,,01/15/2004,
82901,WY,0.9,,6-6-2002,
83001,WY,0.948,,1-5-2005,
82070,WY,0.96,,01/15/2003,
82935,WY,0.96,,07/16/2008,
82901,WY,0.96,,5-5-2005,
82213,WY,0.96,,9-9-2003,
83001,WY,0.96,,2-3-2004,
82053,WY,1.0,,1-1-2005,
82301,WY,1.0,,2-3-2001,
82070,WY,1,16400,10/16/2009,
82070,WY,1,10000,10/16/2009,
82510,WY,1.02,,1-1-2007,
82070,WY,1.04,,1-4-2005,
83014,WY,1.04,,1-2-2008,
82213,WY,1.05,,08/15/2009,
82901,WY,1.08,,08/21/2001,
82201,WY,1.1,,5-5-2007,
82501,WY,1.1,,02/15/2002,
82520,WY,1.1,,7-6-2006,
83014,WY,1.1,,1-7-2008,
82401,WY,1.11,,6-1-2007,
82401,WY,1.12,,01/15/2005,
83014,WY,1.155,,01/23/2006,
82520,WY,1.16,,04/21/2003,
83115,WY,1.2,,1-1-2004,
82901,WY,1.2,,01/15/2001,
82082,WY,1.264,,9-4-2004,
82201,WY,1.264,,02/23/2005,
82053,WY,1.264,,1-5-2004,
82633,WY,1.32,,08/15/2009,
82731,WY,1.336,,01/15/2005,
82009,WY,1.36,,7-7-2007,
83001,WY,1.4,,10-12-1999,
82520,WY,1.52,,7-12-2008,
82901,WY,1.75,,7-12-2008,
83014,WY,1.8,,10/23/2005,
83001,WY,1.9,,07/15/2008,
82523,WY,1.9,,01/15/2007,
82501,WY,2.0,,10/15/2008,
82520,WY,2.0,,01/15/2008,
82501,WY,2.0,14000.0,4-6-2010,
82213,WY,2.1,16800.0,5-9-2010,
82009,WY,2.1,,7-12-2008,
83001,WY,2.2,,08/15/2009,
82520,WY,2.3,,07/25/2008,
82001,WY,2.45,,1-1-2005,
83025,WY,2.45,,01/16/2004,
82520,WY,2.5,,01/15/2002,
82620,WY,2.5,,11-2-2007,
82520,WY,2.52,,1-2-2008,
82520,WY,2.88,,7-7-2008,
82323,WY,3.0,,1-1-2007,
82523,WY,3.0,,02/23/2008,
82520,WY,3.006,,6-7-2008,
82520,WY,3.04,,07/15/2008,
82604,WY,3.06,,04/23/2008,
82633,WY,3.15,23678.88,6-8-2010,
82520,WY,3.3,,01/15/2007,
82601,WY,3.68,29400.0,4-9-2010,
82941,WY,4.0,,10-1-2009,
82604,WY,4.2,33600,05/25/2010,
82801,WY,5.06,20753.42,04/28/2010,
82072,WY,6.0,,4-8-2010,
82443,WY,10.35,25966.0,03/30/2010,
82601,WY,10.6,,9-7-2011,
82520,WY,11.5,,05/14/2012,
82520,WY,24.8,,02/23/2011,
